trip_id,trip_number,station_id_depart,station_id_arrive,class_id,train_id,depart_datetime,arrive_datetime
1,5231555168,Goyetteview,North Slyvia,2,1,30-06-2020 04:09,30-06-2020 22:09
2,1200038621,Lake Caseyfurt,West Grady,1,1,27-09-2021 04:31,27-09-2021 16:31
3,6176412964,West Rosaliamouth,Littleshire,1,2,30-12-2021 12:02,31-12-2021 05:02
4,7321290900,Harrisborough,New Cecile,3,2,21-02-2020 20:12,22-02-2020 11:12
5,3875280652,Fredrickmouth,Shanitastad,3,3,06-03-2020 01:09,06-03-2020 11:09
6,7350623081,West Arthur,Jinastad,1,4,22-03-2021 04:52,22-03-2021 23:52
7,7299967511,Schillerberg,Port Lala,1,5,19-05-2020 11:07,19-05-2020 23:07
8,1514262887,Torietown,Hicklemouth,1,5,12-02-2020 10:03,13-02-2020 02:03
9,3504325289,Windlerton,Townestad,2,2,27-11-2021 05:51,28-11-2021 03:51
10,2684343379,West Herbmouth,Port Isaias,1,4,07-01-2020 06:09,08-01-2020 06:09
11,2612193860,New Danyell,South Thurman,1,4,20-05-2020 22:28,21-05-2020 21:28
12,8592679724,Conniestad,North Brain,1,6,06-05-2022 09:31,06-05-2022 10:31
13,1520695068,New Joleneburgh,Lake Adolphhaven,2,1,28-10-2020 19:13,29-10-2020 07:13
14,7218128470,Wolfland,New Deangelomouth,2,3,15-05-2020 12:39,16-05-2020 06:39
15,1520731716,West Lonimouth,East Rolfside,3,7,23-11-2020 15:38,24-11-2020 08:38
16,1562551244,Port Dustinborough,Alexandrahaven,1,7,06-05-2021 09:23,06-05-2021 16:23
17,4283056580,Lake Travis,Lake Carrolmouth,3,8,21-01-2021 00:41,21-01-2021 04:41
18,1983531353,Nienowborough,East Benito,1,8,16-08-2020 14:53,17-08-2020 08:53
19,8104098870,Hackettchester,East Kelly,1,9,03-11-2020 08:41,03-11-2020 09:41
20,1073714134,Deweyshire,Margaritefort,3,10,01-12-2020 22:08,02-12-2020 16:08
21,6548562368,North Donte,South Kasey,3,4,07-12-2021 09:59,07-12-2021 22:59
22,6730355714,Port Ericfort,North Lou,3,1,13-11-2021 04:19,13-11-2021 05:19
23,1887046990,Port Corlissville,Bufordport,2,1,07-05-2020 05:50,07-05-2020 12:50
24,5045041610,East Monty,North Deweychester,1,6,29-03-2021 18:20,30-03-2021 11:20
25,2566776911,South Lela,South Belvaton,1,11,09-05-2022 12:20,10-05-2022 04:20
26,4451956303,Donnellyborough,Lake Myron,2,12,19-10-2021 07:00,20-10-2021 05:00
27,9807971824,Davisland,Creminbury,1,12,24-09-2020 02:17,24-09-2020 16:17
28,4455799201,Marcoburgh,New Josh,1,13,07-07-2020 01:58,07-07-2020 06:58
29,8718020965,Lake Mitchell,Lake Carl,2,14,22-04-2020 21:50,23-04-2020 16:50
30,5392341410,Reichelmouth,Jeromyport,2,15,11-08-2020 13:10,11-08-2020 19:10
31,8967473757,Jonathanshire,Hellerhaven,3,15,17-10-2021 18:00,18-10-2021 03:00
32,2780252367,East Stacyton,West Kathleenland,3,8,04-12-2021 01:43,04-12-2021 12:43
33,6070131497,North Reiko,Kutchbury,1,9,05-04-2020 01:21,05-04-2020 06:21
34,8603822722,Haagville,Hirtheburgh,1,7,06-03-2020 07:11,07-03-2020 07:11
35,2771276199,North Jarrettberg,Port Stephenie,2,3,16-12-2020 04:52,16-12-2020 09:52
36,9774118236,DuBuqueview,Lake Tomokoport,3,12,02-10-2021 01:24,02-10-2021 23:24
37,4792673898,Lake Angelo,Lake Everett,3,16,24-10-2020 08:17,25-10-2020 04:17
38,1155821519,Lueburgh,Lake Londaville,1,9,30-04-2022 06:44,30-04-2022 17:44
39,6047911545,Sonnyborough,Dinoland,2,9,03-03-2022 13:06,03-03-2022 23:06
40,1614938595,West Germaine,Chandrashire,3,9,19-05-2021 04:03,19-05-2021 09:03
41,5098153137,Shannonside,Reillyshire,2,17,03-08-2021 04:07,03-08-2021 21:07
42,9153752024,West Barbieton,North Margarete,3,6,30-06-2020 23:40,01-07-2020 05:40
43,9351169600,Sarimouth,South Donamouth,3,11,10-10-2020 07:37,10-10-2020 12:37
44,5090628365,Kevinfort,Binsburgh,3,11,18-01-2021 21:03,19-01-2021 14:03
45,5031800874,South Jefferson,Lake Rozanne,2,15,09-06-2021 22:29,10-06-2021 10:29
46,5020352188,Braunfurt,Cliffordburgh,2,5,05-12-2020 07:12,06-12-2020 02:12
47,2986962491,West Chad,Wilkinsonbury,2,5,12-01-2022 10:28,13-01-2022 02:28
48,2856792332,North Lamar,Micahview,2,1,21-05-2021 04:42,22-05-2021 03:42
49,3424196394,Carinaside,Vanitaton,2,1,11-10-2020 23:18,12-10-2020 16:18
50,6432146231,Binsmouth,South Numbersfurt,3,17,07-04-2020 04:10,08-04-2020 01:10
51,9508630976,North Royce,Vikiview,2,17,29-06-2020 19:45,30-06-2020 03:45
52,2736502283,Lake Leighannchester,East Jannaland,2,13,01-10-2021 15:48,02-10-2021 15:48
53,3910797802,Greggchester,Mohrstad,2,9,28-11-2020 22:43,29-11-2020 06:43
54,3224085490,New Teraland,Millstown,1,9,27-09-2021 15:28,27-09-2021 18:28
55,6311248685,Kalaport,Vandervortberg,3,7,21-03-2022 10:07,21-03-2022 12:07
56,7048553476,Tammyport,North Jenniferhaven,2,12,03-01-2022 15:31,04-01-2022 00:31
57,8965973797,DuBuqueborough,Murphyview,3,12,11-07-2021 17:34,12-07-2021 06:34
58,1011980358,South Beatris,Susiemouth,1,15,20-01-2021 02:14,21-01-2021 02:14
59,8809759502,Mitchelltown,Wisokyburgh,2,1,26-05-2020 03:00,26-05-2020 16:00
60,1854520529,Bartonville,East Eldachester,2,4,18-11-2020 07:20,19-11-2020 06:20
61,6233208740,Port Cora,Farrellhaven,3,4,10-05-2021 10:47,10-05-2021 19:47
62,6777694970,North Elmo,East Ignacia,3,18,15-07-2020 05:39,15-07-2020 22:39
63,8365600455,Weissnatbury,Port Pattown,1,18,11-02-2021 17:32,12-02-2021 08:32
64,8510335389,North Dewey,Schimmelfurt,1,19,02-04-2021 12:44,02-04-2021 19:44
65,5507238309,Lake Delindatown,Brekkeburgh,3,5,11-11-2020 19:20,12-11-2020 04:20
66,3036569017,South Antioneshire,Takishaborough,2,17,06-09-2020 11:55,07-09-2020 11:55
67,9737569714,Naderhaven,Port Alonzo,3,18,13-09-2021 01:12,13-09-2021 04:12
68,1146753986,Port Kaitlin,Marksside,3,8,24-03-2020 22:05,25-03-2020 13:05
69,5550787594,Port Codyton,Darlenestad,2,8,18-02-2022 16:56,18-02-2022 21:56
70,9931155697,Billyview,Rohanmouth,1,17,21-03-2020 05:05,21-03-2020 07:05
71,9039706080,Lake Veniceshire,South Jenniferchester,1,3,20-10-2020 14:18,20-10-2020 15:18
72,2522981274,Robelland,Port Robinville,3,3,07-07-2021 09:08,07-07-2021 22:08
73,4648089662,Floydfort,Kovacekmouth,1,11,06-06-2021 22:35,06-06-2021 23:35
74,5456954154,North Landon,South Linda,2,16,17-07-2021 11:55,17-07-2021 12:55
75,9861841899,East Dorthea,West Genevie,2,16,22-08-2021 10:56,23-08-2021 02:56
76,1872155965,Elishaview,Tadmouth,1,7,06-11-2020 04:00,06-11-2020 22:00
77,4201059409,Eleanoremouth,Donnyton,1,19,08-11-2021 01:20,08-11-2021 10:20
78,3544695463,Keeblerchester,Edisonshire,2,2,16-08-2020 05:19,16-08-2020 20:19
79,2828244574,Hoegershire,North Albertstad,3,2,16-02-2022 10:30,16-02-2022 14:30
80,4885646417,North Mosesborough,Hahnville,3,12,20-05-2020 18:38,21-05-2020 01:38
81,2483967023,Shalandaborough,McKenzieport,3,12,06-03-2020 05:57,06-03-2020 06:57
82,7000680197,Sidfort,West Marci,2,18,28-02-2021 08:30,28-02-2021 19:30
83,1450263890,Scottieview,Stewartmouth,2,18,07-07-2021 14:36,07-07-2021 18:36
84,8421291274,Port Burton,McDermottside,1,15,01-10-2020 11:59,02-10-2020 04:59
85,2769727569,Denesikville,Nuville,1,15,21-09-2021 06:16,21-09-2021 18:16
86,8756154045,South Lorrie,Padbergchester,3,9,23-06-2021 14:31,23-06-2021 21:31
87,7309525307,East Faustobury,Ondrickaburgh,3,9,13-01-2022 16:00,13-01-2022 17:00
88,2366769241,Port Jeffry,Deangelostad,2,12,29-01-2022 01:22,29-01-2022 14:22
89,3692220609,Dwightside,South Chantalshire,1,12,19-09-2021 16:33,20-09-2021 11:33
